Month,Hour,Minutes,light_level,RS_outdoor,TM_outdoor,temperature
7,13,50,1.0,808,31.0,27.4
7,14,0,1.0,808,31.0,27.5
7,14,10,1.0,808,31.0,27.5
7,14,20,1.0,746,31.2,27.5
7,14,30,1.0,746,31.2,27.6
7,14,40,1.0,746,31.2,27.6
7,14,50,1.0,669,31.2,27.6
7,15,0,1.0,669,31.2,27.7
7,15,10,1.0,669,31.2,27.7
7,15,20,1.0,582,31.1,27.0
7,15,30,1.0,582,31.1,26.7
7,15,40,1.0,582,31.1,26.5
7,15,50,1.0,492,31.3,26.4
7,16,0,1.0,492,31.3,26.3
7,16,10,1.0,492,31.3,26.1
7,16,20,1.0,405,30.9,26.0
7,16,30,1.0,405,30.9,25.9
7,16,40,1.0,405,30.9,25.8
7,16,50,1.0,303,30.7,25.8
7,17,0,1.0,303,30.7,25.7
7,17,10,1.0,303,30.7,25.6
7,17,20,1.0,191,29.8,25.4
7,17,30,0.0,191,29.8,25.3
7,17,40,0.0,191,29.8,25.1
7,17,50,0.0,98,27.6,25.1
7,18,0,0.0,98,27.6,24.9
7,18,10,0.0,98,27.6,24.9
7,18,20,0.0,30,25.5,24.8
7,18,30,0.0,30,25.5,24.8
7,18,40,0.0,30,25.5,24.7
7,18,50,0.0,2,24.4,24.7
7,19,0,0.0,2,24.4,24.7
7,19,10,0.0,2,24.4,24.7
7,19,20,0.0,0,23.5,24.9
7,19,30,0.0,0,23.5,25.2
7,19,40,0.0,0,23.5,25.5
7,19,50,0.0,0,23.1,25.6
7,20,0,0.0,0,23.1,25.7
7,20,10,0.0,0,23.1,25.8
7,20,20,0.0,0,23.0,25.9
7,20,30,0.0,0,23.0,26.0
7,20,40,0.0,0,23.0,26.1
7,20,50,0.0,0,23.2,26.2
7,21,0,0.0,0,23.2,26.3
7,21,10,0.0,0,23.2,26.4
7,21,20,0.0,0,23.1,26.4
7,21,30,0.0,0,23.1,26.5
7,21,40,0.0,0,23.1,26.6
7,21,50,0.0,0,22.7,26.6
7,22,0,0.0,0,22.7,26.7
7,22,10,0.0,0,22.7,26.7
7,22,20,0.0,0,22.5,26.8
7,22,30,0.0,0,22.5,26.8
7,22,40,0.0,0,22.5,26.9
7,22,50,0.0,0,22.3,26.9
7,23,0,0.0,0,22.3,26.9
7,23,10,0.0,0,22.3,27.0
7,23,20,0.0,0,22.1,27.0
7,23,30,0.0,0,22.1,27.0
7,23,40,0.0,0,22.1,27.0
7,23,50,0.0,0,21.5,27.0
7,0,0,0.0,0,21.5,27.1
7,0,10,0.0,0,21.5,27.1
7,0,20,0.0,0,21.5,27.1
7,0,30,0.0,0,21.5,27.1
7,0,40,0.0,0,21.5,27.1
7,0,50,0.0,0,21.6,27.1
7,1,0,0.0,0,21.6,27.1
7,1,10,0.0,0,21.6,27.1
7,1,20,0.0,0,21.8,27.2
7,1,30,0.0,0,21.8,27.2
7,1,40,0.0,0,21.8,27.2
7,1,50,0.0,0,21.6,27.2
7,2,0,0.0,0,21.6,27.3
7,2,10,0.0,0,21.6,27.3
7,2,20,0.0,0,21.0,27.3
7,2,30,0.0,0,21.0,27.3
7,2,40,0.0,0,21.0,27.3
7,2,50,0.0,0,21.0,27.3
7,3,0,0.0,0,21.0,27.3
7,3,10,0.0,0,21.0,27.3
7,3,20,0.0,0,21.7,27.4
7,3,30,0.0,0,21.7,27.4
7,3,40,0.0,0,21.7,27.3
7,3,50,0.0,0,21.8,27.4
7,4,0,0.0,0,21.8,27.4
7,4,10,0.0,0,21.8,27.4
7,4,20,0.0,3,21.6,27.4
7,4,30,0.0,3,21.6,27.4
7,4,40,0.0,3,21.6,27.4
7,4,50,0.0,28,21.4,27.4
7,5,0,0.0,28,21.4,27.4
7,5,10,0.0,28,21.4,27.4
7,5,20,0.0,36,21.4,27.4
7,5,30,0.0,36,21.4,27.3
7,5,40,0.0,36,21.4,27.3
7,5,50,0.0,54,21.3,27.2
7,6,0,0.0,54,21.3,27.2
7,6,10,0.0,54,21.3,27.1
7,6,20,0.0,164,21.4,27.1
7,6,30,0.0,164,21.4,27.1
7,6,40,0.0,164,21.4,27.1
7,6,50,0.0,208,21.9,27.0
7,7,0,0.0,208,21.9,27.0
7,7,10,0.0,208,21.9,27.0
7,7,20,0.0,255,22.2,27.0
7,7,30,0.0,255,22.2,27.0
7,7,40,0.0,255,22.2,27.0
7,7,50,3.0,344,22.8,27.0
7,8,0,2.0,344,22.8,26.8
7,8,10,2.0,344,22.8,26.9
7,8,20,2.0,443,23.3,26.9
7,8,30,2.0,443,23.3,27.0
7,8,40,2.0,443,23.3,26.8
7,8,50,2.0,612,24.0,26.8
7,9,0,3.0,612,24.0,26.7
7,9,10,3.0,612,24.0,26.7
7,9,20,2.0,613,24.6,26.7
7,9,30,2.0,613,24.6,26.6
7,9,40,2.0,613,24.6,26.6
7,9,50,3.0,401,24.8,26.6
7,10,0,3.0,401,24.8,26.6
7,10,10,3.0,401,24.8,26.8
