Fecha,Hora,TM,HRM%,PPT,RS
26-07-2023,23:30 - 00:00,21.4,84,0.0,0
27-07-2023,00:00 - 00:30,21.0,85,0.0,0
27-07-2023,00:30 - 01:00,20.6,86,0.0,0
27-07-2023,01:00 - 01:30,20.3,87,0.0,0
27-07-2023,01:30 - 02:00,20.2,87,0.0,0
27-07-2023,02:00 - 02:30,19.9,88,0.0,0
27-07-2023,02:30 - 03:00,19.6,89,0.0,0
27-07-2023,03:00 - 03:30,19.4,89,0.0,0
27-07-2023,03:30 - 04:00,19.3,90,0.0,0
27-07-2023,04:00 - 04:30,19.1,90,0.0,0
27-07-2023,04:30 - 05:00,19.5,90,0.0,5
27-07-2023,05:00 - 05:30,19.6,89,0.0,28
27-07-2023,05:30 - 06:00,20.3,86,0.0,48
27-07-2023,06:00 - 06:30,21.1,83,0.0,177
27-07-2023,06:30 - 07:00,22.1,79,0.0,294
27-07-2023,07:00 - 07:30,23.3,73,0.0,321
27-07-2023,07:30 - 08:00,24.3,68,0.0,445
27-07-2023,08:00 - 08:30,25.8,64,0.0,578
27-07-2023,08:30 - 09:00,26.7,61,0.0,665
27-07-2023,09:00 - 09:30,27.8,59,0.0,504
27-07-2023,09:30 - 10:00,26.7,67,0.0,148
27-07-2023,10:00 - 10:30,26.9,65,0.0,418
27-07-2023,10:30 - 11:00,27.6,64,0.0,573
27-07-2023,11:00 - 11:30,28.2,61,0.0,488
27-07-2023,11:30 - 12:00,29.5,57,0.0,816
27-07-2023,12:00 - 12:30,30.0,56,0.0,595
27-07-2023,12:30 - 13:00,28.9,62,0.0,343
27-07-2023,13:00 - 13:30,28.0,67,0.0,526
27-07-2023,13:30 - 14:00,27.3,69,0.0,446
27-07-2023,14:00 - 14:30,28.2,65,0.0,655
27-07-2023,14:30 - 15:00,29.0,60,0.0,680
27-07-2023,15:00 - 15:30,29.6,58,0.0,688
27-07-2023,15:30 - 16:00,29.7,58,0.0,478
27-07-2023,16:00 - 16:30,28.1,63,0.0,219
27-07-2023,16:30 - 17:00,27.7,65,0.0,154
